Application;method;Fitness;;;;Time;;;;power;;;
;;min;max;avg;std;min;max;avg;std;min;max;avg;std
c6, m4,g10;ILP;227.88;227.88;227.88;0.00;242.00;0.42;309.00;57.74;157.88;157.88;157.88;0.00
;PSO;227.88;234.86;229.11;2.38;2.00;1096.00;0.12;0.34;157.88;164.86;159.11;2.38
;DE;227.88;227.88;227.88;0.00;2.00;13.00;0.01;0.00;157.88;157.88;157.88;0.00
;DEPSO;227.88;228.52;228.07;0.31;80.00;108.00;0.09;0.01;157.88;158.52;158.07;0.31
;LPSO;227.88;227.88;227.88;0.00;5.00;64.00;0.02;0.02;157.88;157.88;157.88;0.00
;HCPSO;227.88;227.88;227.88;0.00;23.00;30.00;0.03;0.00;157.88;157.88;157.88;0.00
;SHPSO;227.88;227.88;227.88;0.00;22.00;137.00;0.13;0.03;157.88;157.88;157.88;0.00
c8, m6,g20;ILP;406.60;406.60;406.60;0.00;3983.00;4.29;4148.30;95.77;316.60;316.60;316.60;0.00
;PSO;406.60;443.93;415.15;12.40;6.00;480.00;0.07;0.15;316.60;343.93;323.15;8.70
;DE;406.60;409.48;407.42;1.05;8.00;65.00;0.03;0.02;316.60;319.48;317.42;1.05
;DEPSO;406.60;434.67;409.65;8.80;158.00;194.00;0.17;0.01;316.60;334.67;318.65;5.64
;LPSO;406.60;408.04;407.18;0.53;23.00;2399.00;0.32;0.73;316.60;318.04;317.18;0.53
;HCPSO;406.60;406.60;406.60;0.00;83.00;284.00;0.13;0.06;316.60;316.60;316.60;0.00
;SHPSO;406.60;406.60;406.60;0.00;53.00;406.00;0.29;0.14;316.60;316.60;316.60;0.00
c10, m8,g20;ILP;442.37;442.37;442.37;0.00;13905.00;14.29;14049.10;150.84;282.37;282.37;282.37;0.00
;PSO;442.48;474.39;448.79;12.61;44.00;3880.00;0.79;1.37;282.48;344.39;294.79;25.25
;DE;442.37;497.42;451.55;17.72;23.00;1385.00;0.23;0.41;282.37;367.42;304.55;35.78
;DEPSO;442.37;442.98;442.44;0.19;309.00;7188260.00;1021.46;2263.76;282.37;282.97;282.44;0.19
;LPSO;442.37;442.83;442.49;0.17;43.00;6747819.00;1062.51;2338.73;282.37;282.83;282.49;0.17
;HCPSO;442.37;442.83;442.67;0.21;271.00;72123.00;7.57;22.68;282.37;282.83;282.67;0.21
;SHPSO;442.37;442.83;442.46;0.19;99.00;195258.00;10.73;61.31;282.37;282.83;282.46;0.19
c20, m10,g30;ILP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;PSO;56924.77;87214.42;64595.28;9544.82;295.00;30647.00;11.27;9.73;1688.40;2442.33;2080.29;252.10
;DE;47119.52;62221.67;53655.73;4134.84;10100.00;30034.00;22.15;7.95;2061.90;2296.75;2150.73;65.57
;DEPSO;37083.32;52171.14;44055.97;4237.81;16131.00;687638.00;192.95;230.83;1934.98;2171.14;2025.97;88.36
;LPSO;47317.57;67257.39;58603.42;6617.49;7508.00;30925.00;19.83;6.98;1657.49;2317.57;2096.42;189.61
;HCPSO;41866.95;47134.25;42462.38;1643.71;130187.00;389032.00;247.05;104.36;1816.94;2134.25;1927.38;126.62
;SHPSO;37283.87;47009.73;42558.20;2770.52;6485.00;320505.00;114.52;102.41;1925.76;2283.87;2038.20;113.80
c50, m20,g60;ILP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;PSO;1228811.41;1358963.77;1298680.85;38557.68;422061.00;3184020.00;1753.43;776.16;7701.86;9213.30;8666.85;477.50
;DE;1389611.80;1498715.09;1460553.62;34599.66;168400.00;927454.00;571.43;248.46;8665.09;10065.35;9497.62;554.97
;DEPSO;1329957.19;1448551.09;1384474.66;32550.41;2855122.00;17909020.00;4925.97;4809.57;8461.10;10515.31;9427.66;720.91
;LPSO;1379512.51;1478829.14;1430847.88;32045.32;234686.00;1287695.00;640.86;320.33;7943.35;9898.62;8812.88;619.31
;HCPSO;1227364.06;1406012.56;1276036.05;65320.02;571830.00;35485323.00;17445.87;15796.87;5902.56;7733.77;7105.49;641.32
;SHPSO;1227743.77;1406012.56;1336679.78;98051.36;571830.00;1052428.00;1074.40;339.83;5902.56;7317.00;6609.78;1000.16
c80, m20,g60;ILP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;PSO;2647639.25;2739606.82;2692638.14;46015.42;217323.00;424122.00;324.95;103.66;7629.25;10628.35;9271.47;1519.78
;DE;2711683.66;2758581.02;2737416.39;23780.06;590856.00;956093.00;716.97;207.19;8551.02;11964.48;10733.05;1894.91
;DEPSO;2550051.20;2632252.38;2604249.60;46945.89;4010810.00;4032813.00;4018.55;12.37;10051.20;12252.38;10899.60;1184.10
;LPSO;2611241.53;2680742.18;2650992.23;35813.35;776515.00;1438793.00;1005.74;375.25;10742.18;11241.53;10992.23;249.68
;HCPSO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;SHPSO;2396974.21;2567344.63;2466535.41;89380.36;1605210.00;2241445.00;2147.79;357.58;5247.38;7344.63;6522.07;1119.35
;method;Fitness;;;;Time;;;;power;;;
;;min;max;avg;std;min;max;avg;std;min;max;avg;std